iter	Passed	Remaining
0	103	103045
1	124	62098
2	141	46941
3	155	38722
4	168	33515
5	183	30337
6	197	27987
7	210	26055
8	222	24479
9	235	23297
10	247	22269
11	260	21454
12	272	20673
13	287	20219
14	299	19676
15	312	19192
16	324	18779
17	337	18396
18	349	18070
19	363	17806
20	375	17506
21	387	17247
22	401	17073
23	415	16890
24	428	16712
25	442	16558
26	453	16356
27	467	16224
28	523	17524
29	552	17848
30	567	17726
31	582	17612
32	595	17462
33	609	17322
34	622	17172
35	634	17003
36	649	16893
37	662	16783
38	676	16673
39	690	16563
40	702	16423
41	715	16325
42	729	16241
43	743	16149
44	757	16067
45	769	15967
46	783	15878
47	797	15811
48	810	15732
49	825	15681
50	842	15684
51	856	15617
52	868	15518
53	882	15452
54	896	15404
55	909	15338
56	924	15289
57	938	15249
58	955	15234
59	970	15198
60	983	15132
61	997	15087
62	1010	15032
63	1024	14976
64	1037	14930
65	1049	14858
66	1064	14824
67	1078	14778
68	1091	14732
69	1105	14682
70	1117	14624
71	1130	14565
72	1143	14516
73	1159	14510
74	1175	14499
75	1190	14468
76	1205	14455
77	1219	14414
78	1231	14362
79	1245	14322
80	1259	14288
81	1272	14250
82	1287	14228
83	1301	14191
84	1314	14146
85	1326	14099
86	1339	14055
87	1352	14020
88	1365	13981
89	1379	13951
90	1393	13922
91	1407	13892
92	1421	13858
93	1435	13834
94	1450	13818
95	1463	13782
96	1478	13768
97	1495	13761
98	1513	13770
99	1531	13784
100	1545	13759
101	1562	13756
102	1579	13751
103	1594	13734
104	1610	13728
105	1624	13701
106	1639	13685
107	1655	13674
108	1673	13677
109	1689	13668
110	1705	13661
111	1721	13647
112	1737	13637
113	1754	13635
114	1770	13625
115	1784	13600
116	1799	13580
117	1813	13557
118	1830	13554
119	1843	13519
120	1858	13499
121	1872	13478
122	1886	13448
123	1901	13431
124	1915	13410
125	1930	13390
126	1943	13362
127	1959	13349
128	1973	13327
129	1987	13299
130	2002	13282
131	2016	13261
132	2032	13247
133	2046	13225
134	2061	13209
135	2079	13213
136	2100	13230
137	2115	13214
138	2131	13200
139	2145	13178
140	2158	13153
141	2175	13145
142	2193	13143
143	2214	13165
144	2231	13156
145	2245	13134
146	2258	13103
147	2271	13075
148	2283	13042
149	2296	13011
150	2308	12977
151	2320	12946
152	2333	12916
153	2345	12886
154	2357	12852
155	2370	12824
156	2383	12800
157	2397	12774
158	2410	12749
159	2422	12717
160	2436	12694
161	2449	12670
162	2462	12644
163	2475	12618
164	2487	12588
165	2501	12565
166	2514	12544
167	2528	12522
168	2541	12499
169	2554	12473
170	2569	12456
171	2583	12437
172	2597	12417
173	2612	12401
174	2627	12385
175	2641	12366
176	2654	12342
177	2669	12326
178	2683	12308
179	2697	12289
180	2711	12269
181	2753	12377
182	2767	12356
183	2781	12335
184	2795	12314
185	2810	12298
186	2825	12283
187	2837	12257
188	2852	12240
189	2953	12592
190	3017	12779
191	3033	12764
192	3048	12747
193	3063	12725
194	3077	12704
195	3092	12686
196	3108	12669
197	3124	12655
198	3139	12636
199	3154	12616
200	3167	12590
201	3181	12567
202	3194	12542
203	3208	12520
204	3222	12496
205	3235	12469
206	3249	12447
207	3262	12422
208	3275	12397
209	3289	12375
210	3302	12348
211	3317	12331
212	3331	12308
213	3347	12293
214	3364	12283
215	3379	12266
216	3394	12249
217	3408	12226
218	3422	12204
219	3434	12178
220	3449	12157
221	3463	12137
222	3477	12116
223	3491	12095
224	3506	12076
225	3520	12056
226	3533	12032
227	3547	12012
228	3562	11995
229	3577	11975
230	3590	11952
231	3604	11933
232	3618	11911
233	3631	11887
234	3645	11867
235	3660	11849
236	3674	11830
237	3696	11836
238	3722	11852
239	3804	12046
240	3834	12075
241	3855	12075
242	3874	12069
243	3890	12053
244	3909	12046
245	3935	12062
246	3956	12061
247	3976	12059
248	3998	12058
249	4018	12056
250	4036	12044
251	4056	12040
252	4075	12033
253	4103	12051
254	4123	12048
255	4150	12063
256	4172	12063
257	4191	12053
258	4235	12118
259	4273	12162
260	4293	12157
261	4311	12143
262	4327	12126
263	4345	12115
264	4368	12117
265	4386	12104
266	4402	12086
267	4421	12077
268	4439	12064
269	4456	12049
270	4474	12036
271	4491	12021
272	4509	12009
273	4528	11999
274	4549	11993
275	4567	11980
276	4584	11965
277	4601	11951
278	4616	11930
279	4634	11916
280	4651	11903
281	4670	11892
282	4689	11881
283	4707	11867
284	4725	11855
285	4743	11842
286	4760	11826
287	4777	11811
288	4794	11794
289	4818	11798
290	4837	11785
291	4855	11772
292	4874	11762
293	4891	11747
294	4911	11738
295	4928	11720
296	4947	11709
297	4963	11692
298	4979	11673
299	4995	11656
300	5014	11645
301	5033	11633
302	5050	11617
303	5067	11601
304	5087	11593
305	5107	11583
306	5163	11656
307	5183	11645
308	5201	11632
309	5219	11616
310	5235	11598
311	5253	11584
312	5272	11571
313	5292	11561
314	5310	11548
315	5328	11534
316	5346	11518
317	5368	11514
318	5386	11499
319	5413	11503
320	5456	11541
321	5474	11526
322	5493	11514
323	5515	11508
324	5535	11497
325	5558	11491
326	5575	11475
327	5592	11458
328	5609	11439
329	5627	11425
330	5645	11410
331	5661	11391
332	5679	11376
333	5695	11356
334	5710	11335
335	5729	11322
336	5746	11306
337	5764	11289
338	5785	11280
339	5807	11272
340	5827	11262
341	5848	11252
342	5866	11237
343	5889	11231
344	5906	11213
345	5923	11196
346	5940	11178
347	5961	11168
348	5979	11154
349	5995	11135
350	6013	11118
351	6031	11102
352	6048	11085
353	6066	11070
354	6082	11050
355	6101	11037
356	6116	11016
357	6137	11006
358	6153	10987
359	6171	10971
360	6188	10955
361	6212	10949
362	6239	10948
363	6381	11150
364	6432	11190
365	6448	11170
366	6466	11153
367	6480	11129
368	6494	11105
369	6508	11081
370	6522	11057
371	6536	11033
372	6549	11008
373	6562	10983
374	6575	10959
375	6589	10936
376	6603	10912
377	6617	10889
378	6632	10867
379	6648	10847
380	6663	10825
381	6678	10804
382	6693	10782
383	6707	10760
384	6722	10737
385	6736	10715
386	6756	10702
387	6800	10726
388	6821	10714
389	6839	10697
390	6853	10675
391	6869	10654
392	6884	10633
393	6899	10612
394	6914	10591
395	6931	10572
396	6946	10550
397	6961	10529
398	6977	10509
399	6992	10488
400	7006	10466
401	7021	10444
402	7035	10422
403	7054	10406
404	7070	10388
405	7089	10372
406	7101	10347
407	7115	10323
408	7126	10298
409	7140	10274
410	7153	10252
411	7167	10228
412	7180	10205
413	7192	10181
414	7206	10158
415	7219	10135
416	7233	10112
417	7246	10090
418	7259	10065
419	7273	10044
420	7289	10025
421	7305	10006
422	7319	9984
423	7334	9964
424	7348	9942
425	7363	9922
426	7378	9901
427	7391	9878
428	7406	9857
429	7420	9836
430	7434	9815
431	7448	9793
432	7463	9772
433	7478	9752
434	7492	9732
435	7506	9710
436	7522	9691
437	7537	9671
438	7553	9652
439	7568	9632
440	7583	9612
441	7597	9591
442	7611	9569
443	7624	9548
444	7639	9527
445	7653	9506
446	7668	9486
447	7681	9465
448	7695	9443
449	7709	9422
450	7722	9400
451	7736	9379
452	7749	9358
453	7763	9336
454	7777	9315
455	7798	9303
456	7815	9286
457	7829	9265
